rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
28,"spotify:track:5XQ1eD5Esz1CzdjH9bzbzn","Ati242","Ait Hissetmiyorum","SST",25,25,4
29,"spotify:track:4qdGZUy2bzM8GB2qBaMWpR","SANTOS, Sido","Geschlossene Augen","Urban",21,24,4
30,"spotify:track:39PWLJrvfBCrfe4NX9aGZD","October Country","My Girlfriend Is a Witch","Epic/Legacy",30,73,10
31,"spotify:track:6thXB4RmajS4oZPNiBAKy0","Ray Parker Jr.","Ghostbusters","Arista/Legacy",31,-1,40
32,"spotify:track:67oNO9GjcDn7NO08lg08jj","Achint, Arijit Singh, Anumita Nadesan, Varun Grover","Tenu Sang Rakhna (From ""Jigra"")","Saregama India Ltd",16,28,11
33,"spotify:track:3yDRcs0Y4pPzkvMbUfeF9H","LISA","Moonlit Floor (Kiss Me)","Lloud Co./RCA Records",17,27,11
34,"spotify:track:1kmJ0EvXClJAt0fSSQLX1m","Haricharan, Shweta Mohan, G. V. Prakash, Karthik Netha","Hey Minnale (From ""Amaran"")","Saregama India Ltd",24,30,11
35,"spotify:track:7FfdTwI2i0b5PNeNvqtqCY","Ati242","Italy Forma","SST",35,35,4
36,"spotify:track:03W2WiY9OSnUI4F9dy9L60","John + Jane Q. Public","Watermelon","Best & Final Releasing, LLC",2,29,30
37,"spotify:track:5skCbGGAnc7Ns18Figz54h","AKASAKI","Bunny Girl","AKASAKI",25,33,11
38,"spotify:track:6MzofobZt2dm0Kf1hTThFz","Addison Rae","Diet Pepsi","Columbia",2,34,67
39,"spotify:track:5xeSd4HgzrYpNLEf3LfYLK","GloRilla, Sexyy Red","WHATCHU KNO ABOUT ME (feat. Sexyy Red)","CMG/Interscope Records",29,31,4
40,"spotify:track:7IBqHkoP94VrgYKVns4eNz","Ariis","FUNK DO BOUNCE (Slowed)","Tribal Trap",24,32,30
41,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",27,36,12
42,"spotify:track:1ouPVtxlolKZGedxSTrgD5","THE 9TEEN, Sandesh Shandilya","Aankhon Mein Doob Jaane Ko","Sony Music Entertainment India Pvt. Ltd.",31,37,5
43,"spotify:track:3iRoXGFrF8O0jTul6LAmus","Snow Strippers","Under Your Spell","SURF GANG RECORDS",17,38,44
44,"spotify:track:4TnEIYOXZ9KBGHOIqG5Xs5","PEDRO SAMPAIO, Marina Sena","ESCADA DO PRÉDIO","WM Brazil",28,39,24
45,"spotify:track:0Sr7ssScx54yxdM2ols7nW","Omar Courtz, De La Rose","Q U E V A S H A C E R H O Y ?","Mr.305 Records / Rimas Entertainment LLC.",6,41,25
46,"spotify:track:4yEKHiUQA70cjfWnEL2m13","Drops INA","É Ele","Onimusic",23,42,25
47,"spotify:track:6Z36wt7oo6xm2uGN00PnTq","John Carpenter, Cody Carpenter, Daniel Davies","Halloween Theme","Sacred Bones Records",47,98,10
48,"spotify:track:0io16MKpbeDIdYzmGpQaES","Ndotz","Embrace It","Isekai Records",1,43,53
49,"spotify:track:3sLhMSePzxSrmxluIqeoAZ","Screamin' Jay Hawkins","I Put a Spell On You","Epic/Legacy",34,-1,48
50,"spotify:track:0QuKutgaaa0Q1WUZEnrZ93","Ati242","Sönen Sigaralar","SST",44,45,4
51,"spotify:track:5e0b9LgOfi3aJSKXFcOWRe","Chezile","Beanie","Chezile / 10K Projects",4,46,47
52,"spotify:track:145tqlcE6YFsjNfxi9K3AE","SEVENTEEN, DJ Khaled","LOVE, MONEY, FAME (feat. DJ Khaled)","PLEDIS Entertainment",38,44,4
53,"spotify:track:2vlkTkPqdATznKHu9gD2c1","The American Dawn","Her","DAWN RECORDS",15,48,23
54,"spotify:track:0gs6G0qcP6yXVBntg8PC3L","Jack Lenz","Goosebumps Original Theme Song","Enjoy the Toons Records",54,99,2
55,"spotify:track:2QN9zL3SzXdGqqmXO68gFp","Rockwell","Somebody's Watching Me - Single Version","UNI/MOTOWN",29,-1,13
56,"spotify:track:1D9xlpo9gGhLWrHz0APRlJ","Mc Oliver, MC ZKW, DJ RD DA DZ7, DJ VYZ","Automotivo da Turbulencia","DJ RD DA DZ7",29,51,36
57,"spotify:track:1uGUbgZuO1kD1JZ0UeFupN","Grupo Frontera","Hecha Pa' Mí","BorderTown Records",39,49,11
58,"spotify:track:7swocJUCUWTCiRUAU9oerC","John Carpenter","Halloween Theme - Main Title","Halloween",11,-1,59
59,"spotify:track:3ff93VTp2DBbNnDEsAW8Cm","BLOK3","SEVMEYİ DENEMEDİN","Mundo Music",12,52,32
60,"spotify:track:1tse93p9ApWJtMGYRxCKNm","Cesare Cremonini","Ora che non ho più te","Universal Music Italia srL.",20,50,25
61,"spotify:track:5QOvYYp7yRSY6LP7Vm48br","Misfits","Halloween - Mix-O-Lydian 1981","Astralwerks (ASW)",36,-1,23
62,"spotify:track:3EEd6ldsPat620GVYMEhOP","The Cramps","Goo Goo Muck","EMI Catalogue",8,-1,46
63,"spotify:track:2dThEJP9S344qzNhePcSzj","Milli Vanilli","I'm Gonna Miss You","Hansa Local",1,53,35
64,"spotify:track:2drZGdAOxfE2KoMGTkidmq","MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael, MC LUUKY","365 Dias (Vida Mansa)","Legenda Records",54,54,18
65,"spotify:track:1YlfGwNizEKy299l1PVggn","Grupo Menos É Mais","Coração Partido (Corazón Partío) - Ao Vivo","Som Livre",11,55,46
66,"spotify:track:5RvmmRCoZY1Yupl3PXgZm4","Ángela Aguilar, Felipe Botello y El Sonoro Rugir","Abrázame","Machin Records",8,57,42
67,"spotify:track:7BgFlmOxrL7M1jVGoxqy37","Ernie Zakri, Ade Govinda","Masing Masing","Universal Music Sdn Bhd",43,58,22
68,"spotify:track:0WkZQPNC0c7yrsMX1arVAd","Sheb Wooley","The Purple People Eater","Polydor",47,-1,13
69,"spotify:track:5RZH849e1ZWa2qeVz6O3mK","Yalın","Halbuki","Y Prodüksiyon",22,59,61
70,"spotify:track:1hlbywc8Jhl1FFqJxAMabE","Faheem Abdullah, Rauhan Malik, Amir Ameer","Ishq","Artiste First",2,56,211
71,"spotify:track:5nFyfjGy6AMZqkW0OMUWJJ","Olly, Angelina Mango, Juli","Per due come noi","Epic",16,60,39
72,"spotify:track:4jlv4Tm5qVQdyyQIY93cnu","HeathisHuman","Addams Family Theme","Lakeshore Records",64,-1,5
73,"spotify:track:0daEJMXc3b4ZMTnvtHpuTt",".Feast","Nina","Sun Eater",18,67,61
74,"spotify:track:23V08GxMeaZNSf8Gy6KF6t","Andrew Gold","Spooky, Scary Skeletons","Music For Little People",39,-1,26
75,"spotify:track:1GVDt0vn0wJ1QemPfMEWTU","Ghali","Niente Panico","Warner Music",60,62,4
76,"spotify:track:7v4U1UWo5FHd70GRRgzz8c","Dimitri Vegas, Steve Aoki, Ann Lee, Sound Of Legend","2 Times","House Of House",48,63,6
77,"spotify:track:5U43AFyp6GyXm58h4uVt2L","PattyCake","I Put a Spell on You (In the Style of Hocus Pocus)","PattyCake",77,-1,1
78,"spotify:track:4pygz13A6EcLL6ti7kqGaf","Jin","Super Tuna","BIGHIT MUSIC",58,64,4
79,"spotify:track:4jUZymsR3lkia9wkP0o9cX","DJ TOPO, Mc Livinho","MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1","DJ TOPO",71,71,9
80,"spotify:track:6Qc9EMIMMBGSJUsyKZYOoR","Luan Santana","CERTEZA - Ao Vivo","Sony Music Entertainment",66,66,4
81,"spotify:track:7Dwk4YmBNSqOfRAN7MjQZK","Aaron Hibell, Alex Wann","set me free","Astralwerks",81,-1,1
82,"spotify:track:3znIACSXPLn3HFCf7moZ28","Azumi Takahashi, Lotus Juice, ATLUS Sound Team, ATLUS GAME MUSIC","It's Going Down Now","ATLUS GAME MUSIC",4,68,55
83,"spotify:track:2E5kZ1qnB7V9bcwBEKvZv8","Arijit Singh, Prasad S, Kunaal Vermaa","Kasturi (From ""Amar Prem Ki Prem Kahani"")","Times Music",60,65,9
84,"spotify:track:2gI2IA7QGtzKZKuahon3W1","Achille Lauro","Amore Disperato","Warner Music",35,70,20
85,"spotify:track:2uvE4L5ZsYKpv8hbK4TIOt","Leon Thomas","MUTT","EZMNY Records/Motown Records",31,75,27
86,"spotify:track:4WFeJTXNHIS2wURtwlAkhu","Little Nell, Patricia Quinn, Richard O'Brien","Time Warp","Ode Sounds & Visuals",42,-1,37
87,"spotify:track:2JapCT0xikq6Fy1PQiJz1C","BabyChiefDoit","The Viper","Artist Partner Group",30,81,20
88,"spotify:track:25MzUGleMnmyoeTNRZ8QF1","DJ ANXVAR, MC LONE","VAPO NO SETOR","DJ ANXVAR, MC LONE",69,77,18
89,"spotify:track:0scd3nh27AYTNXo0KHRmsG","Adam Port, Stryv, Camila Cabello, Malachiii, Keinemusik, Orso","Move (feat. Camila Cabello & Malachiii)","Keinemusik under exclusive license to Interscope Records",70,72,4
90,"spotify:track:5sjnkOfTLCLNfkkchI2re2","aespa","UP - KARINA Solo","SM Entertainment",55,69,4
91,"spotify:track:5CtXR89REICvEZljUEK8r1","DJ L30, MC Thaizinha","Do Jeito Que Você Mete","Conquista Records Agenciamento Artístico",1,78,35
92,"spotify:track:1Es7AUAhQvapIcoh3qMKDL","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",19,80,18
93,"spotify:track:0hnHoQbEQOL4YUZ4SO6xbe","China Anne McClain","Calling All the Monsters","UME - Global Clearing House",74,-1,9
94,"spotify:track:0U60hgxzGit7juEuHul2y3","Rod Wave","25","Alamo",67,74,4
95,"spotify:track:2SYovto91rjt4Dh5w330JJ","Liam Payne","Teardrops","Capitol",16,61,13
96,"spotify:track:0zD8DcXmWQwWC5Bh78dXqY","LVCRFT","Skeleton Sam","Spooky Never Sleeps",92,-1,4
97,"spotify:track:1wubETHu3SeJHfbz9itEH0","Henrique & Juliano","Última Saudade - Ao Vivo","Virgin Music Label And Artist Services (S&D)",53,82,18
98,"spotify:track:1qbql17v0Hazo94o5RUyWQ","HUMBE","KINTSUGI","PARASIEMPRE.wav Records",15,76,18
99,"spotify:track:1SE81pYo16nzr3vWfNzNlB","NESYA","delulu","NESYA",24,85,8
100,"spotify:track:4bt7RdJMUicjOED9A5Div1","uniqe, nkeeei, ARTEM SHILOVETS, Wipo","ГЛАМУР","Koala Music",32,83,60
