rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
89,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",54,73,5
90,"spotify:track:0pxE2MKJnBMR9c0giy7v5J","Sai Abhyankkar, Pradeep Ranganathan, Sai Smriti, Semv.iii","Singari","Think Music",64,79,12
91,"spotify:track:2mNGL7mZILSqZHxGboJaO9","Yeat","COMË N GO","Lyfestyle Corporation/Field Trip Recordings/Capitol Records",40,85,55
92,"spotify:track:0tE7G1E9Mc2Eo5ZUIfKQbo","Dj Chetas, Neha Kakkar, Farhan Sabri","Bol Kaffara Kya Hoga","Desi Music Factory",7,82,31
93,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",26,81,19
94,"spotify:track:4l2Fyw7EYB5XjcKwqcwuHQ","DJ Zigão, MC Roger","Tô na Brasilia com o Zigão","MSTT RECORDS",56,87,30
95,"spotify:track:3anHs4ijBd3Iw0E0fBPwtH","Ashish Bhatia, Omkar Singh, Kashish Ratnani","Kashish","Sony Music India / Nine",4,80,45
96,"spotify:track:7aOv4uSAmiB9XKnkibqSdo","cjnobeat, Mc Morena, Mc Gw","Até Quebrar a Cama 2.0","cjnobeat",76,89,18
97,"spotify:track:6OWWZtNQORY1McaZmOrwhc","CORTIS","GO!","Republic Records – CORTIS",1,86,53
98,"spotify:track:6ewN9MaFbi78oDLT9wYDgn","The Specials","Ghost Town","Chrysalis Records",98,-1,1
99,"spotify:track:2EhHCazu5nK0S3oljv0B6l","Khifnu","Merindumu lagi","Go Music",18,95,43
100,"spotify:track:3WvQaS0tluzeCN1KR5tiFi","Xand Avião, Henrique & Juliano","Não é o Lugar, é a Pessoa","Universal Music Ltda.",76,84,5
